,Run #,Training Loss,Testing Loss 42,Testing Loss 0,Test Seed 42 Score,Test Seed 0 Score,Returns,Take Coin QValue
0,0,0.14666810631752014,0,0,0,0,3.3666666666666667,0.0
1,0,22.17966079711914,0,0,0,0,1.5532106782106783,0.0
2,0,3.337550401687622,0,0,0,0,0.9826770451770452,0.0
3,0,23.13810920715332,0,0,0,0,3.330288175876411,0.0
4,0,0.5064261555671692,0,0,0,0,0.991315117630907,0.0
5,0,0.1871889978647232,0,0,0,0,0.5704237228150271,-0.006756432354450226
6,0,0.12158896028995514,0,0,0,0,1.949363711001642,0.48024848103523254
7,0,0.4370390772819519,0,0,0,0,1.6183473389355743,1.000716209411621
8,0,1.0443627834320068,0,0,0,0,0.4368605075667146,1.373655080795288
9,0,1.345546007156372,0,0,0,0,0.3709450528100414,1.6418476104736328
10,1,0.2293643057346344,0,0,0,0,4.499999999999999,0.0
11,1,53.65056228637695,0,0,0,0,3.0833333333333335,0.0
12,1,7.775453090667725,0,0,0,0,1.969047619047619,0.0
13,1,32.07017135620117,0,0,0,0,1.3302308802308798,0.0
14,1,0.9178493618965149,0,0,0,0,1.0258699633699633,0.0
15,1,1.1546779870986938,0,0,0,0,1.7018790849673202,0.0
16,1,1.8039554357528687,0,0,0,0,1.2916138385178633,0.0
17,1,0.12992322444915771,0,0,0,0,1.0490962254120149,0.0
18,1,0.4087815284729004,0,0,0,0,0.5206128653954741,0.0
19,1,4.099180698394775,0,0,0,0,0.9112794612794614,0.0
20,2,0.13236084580421448,0,0,0,0,3.2333333333333334,0.0
21,2,65.15991973876953,0,0,0,0,2.4440476190476192,0.0
22,2,0.7056308388710022,0,0,0,0,1.1790404040404039,0.0
23,2,0.01264367438852787,0,0,0,0,0.875566508654744,0.0
24,2,2.668858528137207,0,0,0,0,0.6738548001705895,0.0
25,2,4.811532020568848,0,0,0,0,1.2632144886940284,0.0
26,2,3.74231219291687,0,0,0,0,0.5655507893665789,0.0
27,2,1.5577280521392822,0,0,0,0,1.0108684346557344,0.0
28,2,0.058659691363573074,0,0,0,0,0.36330277293512586,0.0
29,2,0.8112061619758606,0,0,0,0,0.379634813620693,0.0
30,3,0.11684665828943253,0,0,0,0,2.9,0.0
31,3,0.15231814980506897,0,0,0,0,2.0198773448773446,0.0
32,3,23.69662857055664,0,0,0,0,1.0076770451770451,0.0
33,3,31.875728607177734,0,0,0,0,3.269934640522876,0.0
34,3,0.29909607768058777,0,0,0,0,1.1141145404303299,0.0
35,3,0.7341152429580688,0,0,0,0,0.596006696486236,0.0
36,3,2.1930203437805176,0,0,0,0,0.5731085094242988,0.0
37,3,2.0277020931243896,0,0,0,0,0.4021567296940296,0.0
38,3,4.2894368171691895,0,0,0,0,0.4946975613876746,0.0
39,3,5.080916404724121,0,0,0,0,0.39494863715064954,0.0
40,4,0.13424506783485413,0,0,0,0,3.2333333333333334,0.0
41,4,30.492111206054688,0,0,0,0,3.4345238095238098,0.0
42,4,0.3466719090938568,0,0,0,0,1.8373015873015872,0.0
43,4,26.646846771240234,0,0,0,0,0.9591380841380841,0.0
44,4,2.0692713260650635,0,0,0,0,0.7758781852822101,0.0
45,4,1.153106451034546,0,0,0,0,2.411904761904762,0.0
46,4,0.16204270720481873,0,0,0,0,0.7411654266449662,0.0
47,4,2.975677251815796,0,0,0,0,0.5459462463999669,0.0
48,4,2.051419258117676,0,0,0,0,0.6012071046064734,0.0
49,4,0.5523502826690674,0,0,0,0,0.5192382536703023,0.0
